setup,size,size_bytes,lite_time_us,nccl_time_us,lite_busbw,nccl_busbw,nccl_cfg,nccl_log,nccl_label
1nx4g_host,128B,128,8.36,9.02,0.01,0.01,shm_only,.tmp/collective-benchmarks/ag-1nx4g-host-beat-check-20260609-085713/nccl_shm_allgather_1nx4g.log,NCCL SHM-only
1nx4g_host,256B,256,8.34,8.89,0.02,0.02,shm_only,.tmp/collective-benchmarks/ag-1nx4g-host-beat-check-20260609-085713/nccl_shm_allgather_1nx4g.log,NCCL SHM-only
1nx4g_host,512B,512,8.31,9.03,0.05,0.04,shm_only,.tmp/collective-benchmarks/ag-1nx4g-host-beat-check-20260609-085713/nccl_shm_allgather_1nx4g.log,NCCL SHM-only
1nx4g_host,1KiB,1024,8.39,9.14,0.09,0.08,shm_only,.tmp/collective-benchmarks/ag-1nx4g-host-beat-check-20260609-085713/nccl_shm_allgather_1nx4g.log,NCCL SHM-only
1nx4g_host,2KiB,2048,9.03,9.21,0.17,0.17,shm_only,.tmp/collective-benchmarks/ag-1nx4g-host-beat-check-20260609-085713/nccl_shm_allgather_1nx4g.log,NCCL SHM-only
1nx4g_host,4KiB,4096,10.46,9.69,0.29,0.32,shm_only,.tmp/collective-benchmarks/ag-1nx4g-host-beat-check-20260609-085713/nccl_shm_allgather_1nx4g.log,NCCL SHM-only
1nx4g_host,8KiB,8192,10.86,9.84,0.57,0.62,shm_only,.tmp/collective-benchmarks/ag-1nx4g-host-beat-check-20260609-085713/nccl_shm_allgather_1nx4g.log,NCCL SHM-only
1nx4g_host,16KiB,16384,11.03,10.75,1.11,1.14,shm_only,.tmp/collective-benchmarks/ag-1nx4g-host-beat-check-20260609-085713/nccl_shm_allgather_1nx4g.log,NCCL SHM-only
1nx4g_host,32KiB,32768,11.82,11.71,2.08,2.1,shm_only,.tmp/collective-benchmarks/ag-1nx4g-host-beat-check-20260609-085713/nccl_shm_allgather_1nx4g.log,NCCL SHM-only
1nx4g_host,64KiB,65536,12.99,14.57,3.78,3.37,shm_only,.tmp/collective-benchmarks/ag-1nx4g-host-beat-check-20260609-085713/nccl_shm_allgather_1nx4g.log,NCCL SHM-only
