setup,size_bytes,size,lite_time_us,nccl_time_us,lite_busbw,nccl_busbw,lite_in_time_us,nccl_in_time_us,lite_in_busbw,nccl_in_busbw,lite_log,nccl_log
1nx4g,128,128B,6.03,13.02,0.03,0.01,5.45,11.85,0.04,0.02,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,256,256B,5.97,12.5,0.06,0.03,5.89,12.07,0.07,0.03,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,512,512B,7.04,12.82,0.11,0.06,6.82,12.45,0.11,0.06,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,1024,1KiB,9.19,12.87,0.17,0.12,9.07,12.55,0.17,0.12,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,2048,2KiB,14.62,13.15,0.21,0.23,14.3,12.72,0.21,0.24,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,4096,4KiB,24.14,13.6,0.25,0.45,23.83,13.21,0.26,0.46,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,8192,8KiB,41.23,14.33,0.3,0.86,40.72,14.04,0.3,0.87,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,16384,16KiB,79.42,15.48,0.31,1.59,77.98,15.47,0.32,1.59,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,32768,32KiB,84.37,16.74,0.58,2.94,85.14,16.47,0.58,2.98,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,65536,64KiB,156.87,22.83,0.63,4.31,158.27,22.48,0.62,4.37,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,131072,128KiB,156.0,35.26,1.26,5.58,158.94,34.05,1.24,5.77,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,262144,256KiB,270.03,60.51,1.46,6.5,298.86,58.05,1.32,6.77,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,524288,512KiB,611.41,93.42,1.29,8.42,615.29,92.47,1.28,8.5,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,1048576,1MiB,1288.6,138.8,1.22,11.33,1299.46,138.84,1.21,11.33,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,2097152,2MiB,223.51,221.93,14.07,14.17,222.3,221.05,14.15,14.23,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,4194304,4MiB,395.23,394.85,15.92,15.93,394.86,396.31,15.93,15.88,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,8388608,8MiB,747.67,749.7,16.83,16.78,748.81,751.16,16.8,16.75,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,16777216,16MiB,1460.53,1476.79,17.23,17.04,1467.66,1477.59,17.15,17.03,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,33554432,32MiB,2915.1,2938.24,17.27,17.13,2909.08,2944.47,17.3,17.09,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,67108864,64MiB,5774.87,5840.68,17.43,17.23,5802.51,5831.49,17.35,17.26,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,134217728,128MiB,11525.8,11610.3,17.47,17.34,11538.0,11622.8,17.45,17.32,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,268435456,256MiB,22969.5,23034.9,17.53,17.48,23029.1,23126.4,17.48,17.41,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,536870912,512MiB,45843.6,45882.8,17.57,17.55,45887.2,45955.3,17.55,17.52,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
1nx4g,1073741824,1GiB,91548.6,91782.9,17.59,17.55,91663.1,91686.8,17.57,17.57,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_mscclpp_128B_1G.log,.tmp/collective-benchmarks/ar-topologies-20260610-064813/allreduce_1nx4g_nccl_128B_1G.log
2nx1g,128,128B,166.36,12.21,0.0,0.01,163.5,12.26,0.0,0.01,.tmp/collective-benchmarks/ar-2nx1g-small-final-20260610-160846/lite_2nx1g_128B_1M.log,.tmp/collective-benchmarks/ar-2nx1g-small-final-20260610-160846/nccl_2nx1g_128B_1M.log
2nx1g,256,256B,161.07,12.58,0.0,0.02,164.18,12.53,0.0,0.02,.tmp/collective-benchmarks/ar-2nx1g-small-final-20260610-160846/lite_2nx1g_128B_1M.log,.tmp/collective-benchmarks/ar-2nx1g-small-final-20260610-160846/nccl_2nx1g_128B_1M.log
2nx1g,512,512B,331.79,12.73,0.0,0.04,4319.15,12.66,0.0,0.04,.tmp/collective-benchmarks/ar-2nx1g-small-final-20260610-160846/lite_2nx1g_128B_1M.log,.tmp/collective-benchmarks/ar-2nx1g-small-final-20260610-160846/nccl_2nx1g_128B_1M.log
2nx1g,1024,1KiB,263.89,12.86,0.0,0.08,164.89,12.81,0.01,0.08,.tmp/collective-benchmarks/ar-2nx1g-small-final-20260610-160846/lite_2nx1g_128B_1M.log,.tmp/collective-benchmarks/ar-2nx1g-small-final-20260610-160846/nccl_2nx1g_128B_1M.log
